udise_code,status,school_name,state,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,lgd_block,lgd_village,lgd_ward,urban_local_body,address,pin_code,email,know_more_url,schooldetail_id,last_modified_time,total_results_hint
******95712 Operational,,(03003) ADITYA JR. COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Rajahmundry (M Corp.) - Ward No.14,Rajahmundry-Municipal Corporations,46-20-17/2 DANAVAIPETA NEAR CHINNA ANJANEYA SWAMY TEMPLE,533103,ajcrjy[at]aditya[dot]ac[dot]in,https://kys.udiseplus.gov.in/#/schooldetail/4666490/12,4666490,26/06/2021 19:44,1983
******00425 Operational,,(03004) NIVYA VOCL. JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Rajahmundry Rural,NA,,,prakash nagar rajahmundry,533103,-nivyacollege[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666160/12,4666160,23/12/2025 13:15,1983
******00424 Operational,,(03006) JAYARAM VOCL. JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Rajahmundry Rural,NA,,,7-24-18 adavikolanu vari street Rajahmundry,533103,srikamalakar[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666159/12,4666159,23/12/2025 13:15,1983
******00423 Operational,,(03007) PRATHIBHA VOC. JR. COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Rajahmundry Rural,NA,,,MUNCIPAL COLONY RAJAHMUNDRY,533105,sanjeevpotti123[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666158/12,4666158,23/12/2025 13:14,1983
******95713 Operational,,(03008) V.T. JR. COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,35-Pvt.Aided,11 To 12,3-Co-educational,2-Urban,NA,,Rajahmundry (M Corp.) - Ward No.27,Rajahmundry-Municipal Corporations,Innespeta RAJAHMUNDRY WARD 27,533103,,https://kys.udiseplus.gov.in/#/schooldetail/4666491/12,4666491,24/12/2025 12:20,1983
******95717 Closed,Closed,(03011) NARAYANA JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Rajahmundry (M Corp.) - Ward No.7,Rajahmundry-Municipal Corporations,"D.NO 46-21-7,DANAVAIPETA,RAJAHMUNDRY",533103,venkannababud4599[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666492/12,4666492,19/02/2025 14:46,1983
******95732 Operational,,(03014) GOVT. JR.COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,2-Urban,NA,,Rajahmundry (M Corp.) - Ward No.27,Rajahmundry-Municipal Corporations,OPPOSITE GOODS SHED near HEAD POST OFFICE,533101,gjcrjy03014[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666501/12,4666501,24/12/2025 12:25,1983
******00420 Operational,,(03015) S.V.M.R.M. CO.OP. Jr. COLLEGE RAJANAGARAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Rajanagaram,Rajanagaram,,,-KANAVARAM VILLAGE-KANAVARAMKANAVARAM,533296,svmrmrjnm03015[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666040/12,4666040,23/12/2023 17:29,1983
******95720 Operational,,(03016) SRI SAI ADITYA JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Rajahmundry (M Corp.) - Ward No.27,Rajahmundry-Municipal Corporations,46-20-17/1 DANAVAIPETA RAJAHMUNDRY URBAN - 533103,533103,ajcrjy[at]aditya[dot]ac[dot]in,https://kys.udiseplus.gov.in/#/schooldetail/4666493/12,4666493,31/07/2024 13:56,1983
******95724 Sanctioned but not Operational,,(03020) SCHADE JR.COLLEGE FOR GIRLS,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Rajahmundry (M Corp.) - Ward No.5,Rajahmundry-Municipal Corporations,SCHADE COMPOUND NEAR Y JUNCTION,533103,suneelreddi1977[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4666494/12,4666494,10/05/2022 05:39,1983
