udise_code,status,school_name,state,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,lgd_block,lgd_village,lgd_ward,urban_local_body,address,pin_code,email,know_more_url,schooldetail_id,last_modified_time,total_results_hint
******01014 Operational,,(04082) SRI GAGAN SAI JR. COLLEGE KALLA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Kalla,Kalla,,,NEAR RAMALAYAM KALLA WESTGODAWARY DT,534237,srigagansaijuniorcollege[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4672800/12,4672800,10/12/2025 21:27,2835
******91034 Operational,,(04123) SASI JR. COLLEGE ELURU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Eluru (M) - Ward No.21,Eluru-Municipal Corporations,SANTHINAGAR 2ND ROAD ELURU,534007,office.elr[at]sasi[dot]ac[dot]in,https://kys.udiseplus.gov.in/#/schooldetail/4671872/12,4671872,28/12/2025 19:37,2835
******91035 Operational,,(04124) DE-PAUL JR. COLLEGE PINAKADIMI ELURU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Tangellamudi (R) (OG) - Ward No.31,Eluru-Municipal Corporations,PINKAKADIMI NEAR DENTAL COLLEGE,534003,depauljuniorcollege2008[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4671873/12,4671873,16/02/2026 14:40,2835
******91037 Permanently Closed,,(04126) SIDDARTHA JR. COLLEGE ELURU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Eluru (M) - Ward No.2,Eluru-Municipal Corporations,NA,534007,,https://kys.udiseplus.gov.in/#/schooldetail/4671874/12,4671874,15/10/2020 12:18,2835
******91050 Operational,,(04127) NRI JR. COLLEGE ELURU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Eluru (M) - Ward No.26,Eluru-Municipal Corporations,NR PETA ELURU ELURU ELURU,534002,di0523wg[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4671884/12,4671884,28/12/2025 19:17,2835
******91039 Operational,,(04128) SRI BHARATHI JR. COLLEGE ELURU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Eluru (M) - Ward No.21,Eluru-Municipal Corporations,SREE BHARATHI JR COLLEGE SANTHI NAGAR ELURU,534007,di0523wg[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4671875/12,4671875,28/12/2025 19:33,2835
******91041 Permanently Closed,,(04130) NARAYANA JR. COLLEGE ELURU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Eluru (M) - Ward No.6,Eluru-Municipal Corporations,NA,534003,,https://kys.udiseplus.gov.in/#/schooldetail/4671876/12,4671876,15/10/2020 12:18,2835
******91026 Operational,,(04133) GOVT JR. COLLEGE ELURU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,2-Urban,NA,,Eluru (M) - Ward No.16,Eluru-Municipal Corporations,OPP SUBJAIL ELURU ELURU,534001,elurugjc[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4671867/12,4671867,28/12/2025 19:55,2835
******91043 Operational,,(04135) SPDBT JR. COLLEGE ELURU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,35-Pvt.Aided,11 To 12,3-Co-educational,2-Urban,NA,,Eluru (M) - Ward No.28,Eluru-Municipal Corporations,ASHOKNAGAR ELURU ELURU,534002,spdbtjc[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4671878/12,4671878,28/12/2025 19:31,2835
******91027 Operational,,(04136) NSRK WOMEN JR. COLLEGE ELURU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Eluru (M) - Ward No.2,Eluru-Municipal Corporations,WEST GODAVARI ELURU MANDAL,534005,di0523wg[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4671868/12,4671868,28/12/2025 19:54,2835
