udise_code,status,school_name,state,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,lgd_block,lgd_village,lgd_ward,urban_local_body,address,pin_code,email,know_more_url,schooldetail_id,last_modified_time,total_results_hint
******00630 Operational,,(06003) CHALAPATHI JR.COLLEGE TADIKONDA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Tadikonda,Lam,,,CHALAPATHI JUNIOR COLLEGE LAM POST TADIKONDA MANDAL GUNTUR DISTRICT,522034,chalapathijc[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4679693/12,4679693,22/12/2025 10:58,2268
******00709 Operational,,(06022) VIGNAN CO-OP. JR.COLLEGE VADLAMUDI,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Chebrole,Vadlamudi,,,VIGNAN CO.OP JUNIOR COLLEGE VADLAMUDI 522213,522213,,https://kys.udiseplus.gov.in/#/schooldetail/4681806/12,4681806,22/12/2025 12:01,2268
******00420 Permanently Closed,,(06065) SIDDHARDHA JR.COLLEGE CHINAKONDRUPADU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Prathipadu,Nadimpalem,,,NA,522019,,https://kys.udiseplus.gov.in/#/schooldetail/4716024/12,4716024,15/10/2020 12:18,2268
******00725 Operational,,(06080) MORNING STAR JR.COLLEGE PHIRANGIPURAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Phirangipuram,Phirangipuram,,,DOOR NO 10-59 - MAIN ROAD - PHIRANGIPURAM - 522529 - GUNTUR - DIST,522529,morningstarjrcollege[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4680553/12,4680553,25/06/2021 15:57,2268
******00110 Operational,,(06106) GOVT. JR COLLEGE PENUMAKA TADEPALLI MANDAL,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,2-Urban,NA,,Tadepalli Ward No.11,Tadepalli-Municipality,PENUMAKATADEPALLI MANDAL GUNTUR DIST,522501,gjc.penumaka259131[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4679468/12,4679468,08/10/2024 11:02,2268
******00532 Operational,,(06139) NIRMALA JUNIOR COLLEGEKOTHA PETMANGALAGIRI,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Mangalagiri (M) - Ward No.2,Mangalagiri-Municipality,1-236 KOTHAPETA MANGALAGIRI,522503,veesamvenkataprasad[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4679587/12,4679587,20/12/2025 13:20,2268
******00241 Permanently Closed,,(06140) SMT.SANAGALA PRAMEELA JR.COLLEGE NAMBUR,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Pedakakani,Nambur,,,NA,522508,,https://kys.udiseplus.gov.in/#/schooldetail/4715939/12,4715939,15/10/2020 12:18,2268
******00531 Operational,,(06141) NARAYANA JUNIOR COLLEGEMANGALAGIRI,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Mangalagiri (M) - Ward No.14,Mangalagiri-Municipality,TENALI ROAD-MANGALAGIRI,522503,mangalagiri.college471[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4679586/12,4679586,20/12/2025 13:19,2268
******90561 Operational,,(06143) VIJAYA JYOTHI JR.COLLEGE MANGALAGIRI,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Mangalagiri (M) - Ward No.9,Mangalagiri-Municipality,"GANAPATHI NAGAR, ATMAKUR VILLAGE,MANGALAGIRI MANDAL",522503,vj.vijayajyothi[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4679649/12,4679649,20/12/2025 13:54,2268
******90563 Operational,,(06145) SRI NALANDA VOCL. JR. COLLELGE MANGALAGIRI GUNTUR DIST.,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Mangalagiri (M) - Ward No.2,Mangalagiri-Municipality,"DOOR NO.1-1506,near gowtham buddha road mangalagiri mandal",522503,srinunalanda123[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4679653/12,4679653,20/12/2025 13:54,2268
******90562 Permanently Closed,,(06147) KOWTHA ADINARAYANA MURTY MEMORIAL JRCOLLEGE OPP. A.N.U. MENSHOSTEL NAG,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,35-Pvt.Aided,11 To 12,3-Co-educational,1-Rural,Mangalagiri,NA,,,NA,522510,,https://kys.udiseplus.gov.in/#/schooldetail/4715777/12,4715777,15/10/2020 12:18,2268
******00920 Operational,,(26002) GOVT. JR.COLLEGE CHEBROLU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Chebrole,Chebrolu,,,"Govt junior college , chebrole",522212,gjcprincipal1969[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4681084/12,4681084,20/07/2022 14:47,2268
******00922 Operational,,(26076) A.R.R.JR.COLLEGE KOLLIPARA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Kollipara,Kollipara,,,KOLLIPARA GUNTUR DISTRICT,522304,arrjrcollege[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4681375/12,4681375,16/02/2026 15:03,2268
******90764 Operational,,(26089) SUJATHA JR.COLLEGE S.V.N.COLONY IST LINE PONNUR,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Ponnur (M) - Ward No.31,Ponnuru-Municipality,SUJATHA JUNIOR COLLEGE OPP SAHASRA LINGESWARA SWAMI TEMPLE TELAGAPALEM PONNUR GUNTUR DT 522124,522124,sjcpnr[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4682245/12,4682245,08/10/2024 14:56,2268
******90769 Operational,,(26102) P.B.N. COLLEGE NIDUBROLU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Ponnur (M) - Ward No.14,Ponnuru-Municipality,PBN COLLEGE NIDUBROLU PONNUR MANDAL GUNTUR DT 522124,522124,pbncollege18[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4682993/12,4682993,08/10/2024 14:57,2268
******90767 Permanently Closed,,(26105) K.S. JR. COLLEGE PONNUR,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,35-Pvt.Aided,11 To 12,3-Co-educational,2-Urban,NA,,Ponnur (M) - Ward No.19,Ponnuru-Municipality,NA,522124,,https://kys.udiseplus.gov.in/#/schooldetail/4716112/12,4716112,15/10/2020 12:18,2268
