udise_code,status,school_name,state,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,lgd_block,lgd_village,lgd_ward,urban_local_body,address,pin_code,email,know_more_url,schooldetail_id,last_modified_time,total_results_hint
******00234 Operational,,(03172) CHARLES MEMORIAL LUTHERN JR. COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Sakhinetipalle,Sakhinetipalle,,,sakhinetipalli,533251,,https://kys.udiseplus.gov.in/#/schooldetail/4669204/12,4669204,26/06/2021 17:19,2480
******00417 Operational,,(03185) AFDT JR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,35-Pvt.Aided,11 To 12,3-Co-educational,1-Rural,Malikipuram,Malikipuram,,,MALIKIPURAM,533253,afdtjc[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4669088/12,4669088,26/06/2021 17:21,2480
******00614 Operational,,(03186) S.M.G. JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Malikipuram,Lakkavaram,,,Lakkavaram,533254,mgcollege186[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4669114/12,4669114,15/10/2020 12:18,2480
******00418 Operational,,(03187) SRI DEEPTHI JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Malikipuram,Malikipuram,,,MALIKIPURAM,533253,meo.malikipuram[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4669089/12,4669089,19/08/2024 10:05,2480
******00518 Operational,,(03219) NARAYANA JR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Razole,Sivakodu,,,SIVAKODU RAZOLE MANDAL,533242,razolenarayana[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4669012/12,4669012,27/09/2024 17:59,2480
******00519 Operational,,(03221) RAVI TEJA VOCATIONAL JR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Mamidikuduru,Nagaram,,,NAGARAM MAMIDIKUDURU MANDAL EGDT 533248,533247,solman.gracy1[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4668469/12,4668469,18/07/2022 16:08,2480
******00433 Operational,,(03224) GOVT. JR.COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Razole,Razole,,,NEAR BSNL OFFICE MAIN ROAD RAZOLE,533242,gjc03224[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4669004/12,4669004,26/06/2021 12:34,2480
******00435 Operational,,(03225) SRI MEDHA VOCATIONAL JR COLLEGE TATIPAKA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Razole,Thatipaka,,,SRI MEDHA VOC JR COLLEGE,533249,uppeyn[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4669005/12,4669005,30/09/2024 17:46,2480
******00113 Operational,,(03226) VEDA JUNIOR COLLEGE TATIPAKA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Razole,Thatipaka,,,CINEMA ROAD TATIPAKA,533249,vedaheadoffice[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4668977/12,4668977,11/05/2022 14:27,2480
******00115 Operational,,(03229) PADMAVATHI MAHILA JR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,2-Girls,1-Rural,Razole,Thatipaka,,,"D No 7-140, 7-140/1 Old SBI Building, Tatipaka",533249,spmcollegetpk[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4668980/12,4668980,22/12/2023 14:32,2480
