udise_code,status,school_name,state,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,lgd_block,lgd_village,lgd_ward,urban_local_body,address,pin_code,email,know_more_url,schooldetail_id,last_modified_time,total_results_hint
******90530 Operational,,(10006) Sri Krishna Jr.CollegeKallur,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Kurnool Ward No. 27,Kurnool-Municipal Corporations,abbasnagarkurnool DIST,518002,skjc.kurnool[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699035/12,4699035,24/12/2025 07:15,2725
******91316 Operational,,(10009) Govt.Jr.College(Town) Kurnool,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,2-Urban,NA,,Kurnool Ward No. 51,Kurnool-Municipal Corporations,NEAR CONTROL ROOM KURNOOL,518001,principal.gjct.kurnool[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4697145/12,4697145,25/10/2024 19:43,2725
******91321 Operational,,(10013) Govt. Jr.College for Girls,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,2-Girls,2-Urban,NA,,Kurnool Ward No. 45,Kurnool-Municipal Corporations,"Govt. Junior College, for Girls Kurnool Near Railway Station Road Kurnool",518004,principal.gjcgkurnool[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4697147/12,4697147,25/10/2024 19:43,2725
******91351 Operational,,(10016) St.Joseph Jr.College for girls Kurnool,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,35-Pvt.Aided,11 To 12,2-Girls,1-Rural,Kurnool,Gargeyapuram,,,JMJ Nagar Atmakur Road Kurnool,518002,stjosephjrcollgeknl[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698237/12,4698237,29/12/2025 11:54,2725
******91325 Operational,,(10017) Govt. Jr.CollegeB.Camp Kurnool,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,2-Urban,NA,,Kurnool Ward No. 23,Kurnool-Municipal Corporations,Govt Junior College B Camp Kurnool,518002,principal.gjcb.kurnool1[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698217/12,4698217,25/10/2024 19:43,2725
******91328 Operational,,(10018) St.Mary Jr.College for Boys Kurnool,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,35-Pvt.Aided,11 To 12,3-Co-educational,1-Rural,Kurnool,B. Thandrapadu (Og),,,opp gpr college kurnool,518007,smjcknl1980[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698218/12,4698218,21/12/2025 14:07,2725
******91349 Permanently Closed,,(10024) VIDYA VIKAS JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,9-NA,NA,,,,NA,518004,,https://kys.udiseplus.gov.in/#/schooldetail/4698234/12,4698234,25/10/2024 19:43,2725
******91329 Operational,,(10030) Coles Memorial Jr.College Kurnool,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,35-Pvt.Aided,11 To 12,3-Co-educational,2-Urban,NA,,Kurnool Ward No. 50,Kurnool-Municipal Corporations,Opp Head Post Office Old Bus Stand Kurnool,518001,vijay9994u[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698219/12,4698219,25/10/2024 19:43,2725
******91330 Operational,,(10031) OSMANIA COLLEGE KURNOOL,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,1-Boys,2-Urban,NA,,Kurnool Ward No. 10,Kurnool-Municipal Corporations,11/9 PETA OSMANIA COLLEGE KURNOOL,518001,principalock[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698220/12,4698220,25/10/2024 19:43,2725
******91331 Operational,,(10032) Hajira Jr.College for Girls Kurnool,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,2-Girls,2-Urban,NA,,Kurnool Ward No. 10,Kurnool-Municipal Corporations,11/9 OSMANIA COLLEGE CAMPUS,518001,hjcfg.knl[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698221/12,4698221,25/10/2024 19:43,2725
