udise_code,status,school_name,state,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,lgd_block,lgd_village,lgd_ward,urban_local_body,address,pin_code,email,know_more_url,schooldetail_id,last_modified_time,total_results_hint
******04709 Operational,,(01192) APTWR JC SEETHAMPETA(BOYS),,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,27-APTWREI Society Schools,11 To 12,1-Boys,1-Rural,Seethampeta,Pedarama,,,ITDA SEETHAMPETA PARVATHIPURMAMANYAM DISTRICT,532443,rjcb.spt[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4651721/12,4651721,30/09/2024 11:06,1992
******02541 Closed,Closed,(01193) ELITE JR.COLLEGE PALAKONDA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Ward,PALAKONDA-Town Panchayat,palakonda srikakulam,532440,elitejrcollegeplkd[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4651609/12,4651609,28/10/2025 12:45,1992
******02542 Operational,,(01194) GOVT. JR.COLLEGE FOR BOYS PALAKONDA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,2-Urban,NA,,Ward,PALAKONDA-Town Panchayat,RTC DEPOIT BACK PALAKONDA,532440,principalpalakonda[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4651610/12,4651610,16/07/2023 01:44,1992
******02543 Operational,,(01195) GOVT. JR.COLLEGE FOR GIRLS PALAKONDA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,2-Girls,2-Urban,NA,,Ward,PALAKONDA-Town Panchayat,GOVERNMENT JUNIOR COLLEGE GIRLS BEHIND RTC DOPOT NEAR NK RAJAPURAM,532440,gjcgirlsplkd[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4651611/12,4651611,27/06/2021 13:44,1992
******02544 Operational,,(01196) S. THAMMINAIDU JR. COLLEGE PALAKONDA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Ward,PALAKONDA-Town Panchayat,S THAMMINAIDU JUNIOR COLLEGE MM NAGAR PALAKONDA SRIKAKULAM DISTRICT,532440,principalthamminaidu[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4651612/12,4651612,27/06/2021 13:44,1992
******02545 Operational,,(01197) SAHITHI JUNIOR COLLEGE VADAMA ROAD,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Ward,PALAKONDA-Town Panchayat,VADAMA ROAD PALAKONDA,532440,,https://kys.udiseplus.gov.in/#/schooldetail/4651613/12,4651613,15/10/2020 12:18,1992
******02549 Operational,,(01198) SATYA SAI JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Ward,PALAKONDA-Town Panchayat,YELAM PALAKONDA,532440,srisatyasai01198[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4651616/12,4651616,15/10/2020 12:18,1992
******04722 Operational,,(01200) A.P.T.W.R.JR.COLLEGE FOR GIRLS SEETHAMPETA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,27-APTWREI Society Schools,11 To 12,2-Girls,1-Rural,Seethampeta,Seethampeta,,,APTWR JR COLLEGEG SEETHAMPETA,532443,rjcgirlsspt[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4651727/12,4651727,28/09/2024 09:16,1992
******02547 Operational,,(01201) SRI GAYATHRI VOCATIONAL JR. COLLEGE PALAKONDA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Ward,PALAKONDA-Town Panchayat,ANJANEYA COLONY RTC COMPLEX BACK SIDE,532440,,https://kys.udiseplus.gov.in/#/schooldetail/4651615/12,4651615,14/12/2023 15:24,1992
******02546 Closed,Closed,(01202) OM SAI JUNIOR COLLEGE PALAKONDA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Palakonda,NA,,,OPP RTC COMPLEX MAIN ROAD,532440,omsaoplkd[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4651614/12,4651614,11/05/2022 14:28,1992
