udise_code,status,school_name,state,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,lgd_block,lgd_village,lgd_ward,urban_local_body,address,pin_code,email,know_more_url,schooldetail_id,last_modified_time,total_results_hint
******00978 Operational,,(10026) SRI VYSHNAVI JR COLLEGE NANDIKOTKUR,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Nandikotkur Ward No. 1,Nandikotkur-Town Panchayat,523/1 byreddy complex nandikotkur,518401,srivyshnavijuniorcollege[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4698412/12,4698412,18/12/2025 16:11,2367
******91466 Operational,,(10083) Sri Venkateshwara Jr.College Nandyala,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Nandyal (M) - Ward No.13,Nandyal-Municipality,NEAR PADMAVATHI NAGAR ARCH NK ROAD NANDYAL,518501,ssvjc10083[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699507/12,4699507,15/10/2020 12:18,2367
******91467 Permanently Closed,,(10084) Sri Siva Sai Jr.College Nandyala,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Nandyal (M) - Ward No.29,Nandyal-Municipality,NA,518502,,https://kys.udiseplus.gov.in/#/schooldetail/4699508/12,4699508,15/10/2020 12:18,2367
******91468 Operational,,"(10085) RAOS JUNIOR COLLEGE, SANJEEVA NAGAR NANDYAL",,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Nandyal (M) - Ward No.25,Nandyal-Municipality,25-252sanjeeva nagar Nandyal,518501,ndl.rjc[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699509/12,4699509,06/02/2023 17:23,2367
******91470 Operational,,(10087) PSC and KVSC Govt. Jr.College Bomalasatram Nandyal,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,2-Urban,NA,,Nandyal (M) - Ward No.29,Nandyal-Municipality,BOMMALASATRAM NANDYAL,518501,principal.gjc.nandyal[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4699510/12,4699510,26/06/2021 09:59,2367
******91471 Operational,,(10089) SYVCP Govt. Jr College for Girls Nandyal,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,2-Girls,2-Urban,NA,,Nandyal (M) - Ward No.16,Nandyal-Municipality,NEAR GOVTPOLYTECGHNIC COLLEGE TEKKE NANDYAL,518501,principalgjcforgirlsnandyal[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4700629/12,4700629,26/06/2021 09:59,2367
******91472 Operational,,(10090) SPY Reddy Jr.College for girls BomalasatramNandyala,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,2-Girls,2-Urban,NA,,Nandyal (M) - Ward No.30,Nandyal-Municipality,263 Bommalasatram Nandyal,518502,prlspyrjc[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4700630/12,4700630,26/06/2021 10:10,2367
******91473 Operational,,(10091) Raos Jr.College Srinivasa Nagar Nandyal,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Nandyal (M) - Ward No.25,Nandyal-Municipality,25/695-2 SY NO 759/213 SRINIVASA NAGAR NANDYAL,518501,ndl.rjc[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4700631/12,4700631,09/01/2026 12:37,2367
******00628 Operational,,(10092) Vijayawada Nalanda Jr College Nandyal,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Nandyal (M) - Ward No.28,Nandyal-Municipality,28/759/B3 NGOS COLONY NANDYAL,518502,ramasubbaiah75[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4700409/12,4700409,26/06/2021 09:57,2367
******03145 Operational,,(10094) SRI SAI SIDDRATHA JR.COLLEGE B.PALLI,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Banaganapalle,Banaganapalle (Ct),,,GOOTHY ROAD BANAGANAPALLI,518124,rayapatirasekher1985[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4701333/12,4701333,11/05/2022 12:23,2367
