udise_code,status,school_name,state,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,lgd_block,lgd_village,lgd_ward,urban_local_body,address,pin_code,email,know_more_url,schooldetail_id,last_modified_time,total_results_hint
******00205 Closed,Closed,(06087) ST. AUGUSTINE JR COLLEGE DHARANIKOTA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Amaravathi,Dharanikota,,,"SATTENAPALLI ROAD,DHARANIKOTA",522020,staugustinejunior12[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4679322/12,4679322,26/09/2024 17:13,2501
******01843 Operational,,(06092) BHAVANA JUNIOR COLLEGE NARASARAOPET,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Narasaraopet (M) - Ward No.19,Narasaraopeta-Municipality,ARUNDELPET NARASARAOPET,522601,bhavana06092[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4681439/12,4681439,25/06/2021 15:46,2501
******01844 Operational,,(06093) S.S. N COLLEGESRI SUBBARAYA NARAYANACOLLEGE PALNADU ROAD NARASARAO,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,35-Pvt.Aided,11 To 12,3-Co-educational,2-Urban,NA,,Narasaraopet (M) - Ward No.20,Narasaraopeta-Municipality,Palanadu road Narasaraopet,522601,ssnrama[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4681440/12,4681440,25/06/2021 15:46,2501
******01849 Permanently Closed,,(06094) KRISHNAVENI JR. COLLEGE NARASARAOPET,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Narasaraopet (M) - Ward No.20,Narasaraopeta-Municipality,NA,522601,,https://kys.udiseplus.gov.in/#/schooldetail/4681444/12,4681444,19/07/2023 22:14,2501
******01845 Operational,,(06095) S.K.R.B.R. JR.COLLEGE NARASARAOPET,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Narasaraopet (M) - Ward No.25,Narasaraopeta-Municipality,PALNADU ROAD NARASARAOPET,522601,sivakoc[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4681441/12,4681441,18/12/2025 16:27,2501
******01846 Operational,,(06096) K.R. JR. COLLEGE NARASARAOPET,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Narasaraopet (M) - Ward No.20,Narasaraopeta-Municipality,PALNADU ROAD NARASARAOPET,522601,krcollege9999[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4681442/12,4681442,04/03/2024 17:16,2501
******01847 Operational,,(06097) HIRD JR.COLLEGE FOR GIRLS NARASARAOPET,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,35-Pvt.Aided,11 To 12,2-Girls,2-Urban,NA,,Narasaraopet (M) - Ward No.9,Narasaraopeta-Municipality,NAER RTC BUS STAND NARASAOPET,522601,Hirdjcnrt[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4681443/12,4681443,25/06/2021 15:47,2501
******00308 Operational,,(06100) SRI DHANALAKSHMI JR .COLLEGE A-MUPPALLA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Ipur,Muppalla,,,MUPPALLA(vi) EPURU(md) GUNTUR(dt),522661,dhanalakshmijrcollege[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4682347/12,4682347,27/12/2025 11:49,2501
******00510 Operational,,(06101) SRI KRISHNA CHAITANYA JR COLLEGE RAVIPADU,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Narasaraopeta,Ravipadu,,,Ravipadu Narasaraopet Guntur,522603,skcjrcollege[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4682105/12,4682105,24/12/2025 19:45,2501
******01850 Operational,,(06111) VASAVI JUNIOR COLLEGE NARASARAOPET,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Narasaraopet (R) (OG) (Part) - Ward No.23,Narasaraopeta-Municipality,11-14-5/2 RAMIREDDYPAT NARASARAOPET,522601,vasavicollege2015[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4682177/12,4682177,18/12/2025 17:21,2501
