udise_code,status,school_name,state,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,lgd_block,lgd_village,lgd_ward,urban_local_body,address,pin_code,email,know_more_url,schooldetail_id,last_modified_time,total_results_hint
******00110 Operational,,(01109) VIDYA JR.COLLEGE PONU GOTIVALASA,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,1-Rural,Santhakavati,Bodduru,,,vidya junior college ponugutivalasa village santhakaviti mandalam srikakulam dist,532123,thamminaiduvidya888[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4651410/12,4651410,27/06/2021 13:39,2788
******00740 Operational,,(01110) GAYATRI JR.COLLEGE BABANAGAR RAJAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Rajam (CT) - Ward No.5,Rajam-Town Panchayat,BABANAGAR RAJAM,532127,gayatricollege01[at]mail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4650832/12,4650832,27/06/2021 19:26,2788
******00741 Operational,,(01111) VEDA GAYATRI JR.COLLEGE RAJAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Rajam (CT) - Ward No.13,Rajam-Town Panchayat,TELAGA STREET RAJAM VIZIANAGARAM DIST,532127,vedagayatrijc01111[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4650833/12,4650833,15/12/2023 09:42,2788
******00742 Operational,,(01112) SSS JUNIOR.COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Rajam (CT) - Ward No.13,Rajam-Town Panchayat,Ghanta Narayana Rao Junior college Telaga Street Rajam Srikakakulam dist,532127,adityacollege896[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4650834/12,4650834,22/11/2024 11:01,2788
******00743 Operational,,(01113) GOVT. JR.COLLEGE RAJAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,2-Urban,NA,,Rajam (CT) - Ward No.6,Rajam-Town Panchayat,Principal GJC Boys Rajam,532127,gjc.rajam[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4650835/12,4650835,27/06/2021 19:27,2788
******00744 Operational,,(01114) SRI G.C.S.R. JR. COLLEGE G.M.R. NAGAR RAJAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Rajam (CT) - Ward No.1,Rajam-Town Panchayat,GMR NAGAR RAJAM SRIKAKULAM,532127,srigcsrjrcollege2006[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4650836/12,4650836,23/12/2025 16:26,2788
******00735 Operational,,(01115) GOVT JR COLEGEW FOR GIRLS RAJAM,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,2-Girls,2-Urban,NA,,Rajam (CT) - Ward No.7,Rajam-Town Panchayat,New Govt. Jr. College Girls ZPGHSchool campus Saradhi Road RAJAM,532127,gjcgirls.rjm[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4650831/12,4650831,19/06/2024 15:15,2788
******00749 Operational,,(01116) NARAYANA JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Rajam (CT) - Ward No.13,Rajam-Town Panchayat,NEAR VIDYANIKITAN SCHOOL SATYANARAYANA PURAMRAJAM,532127,rajam.narayanagroup[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4650841/12,4650841,27/06/2021 19:27,2788
******00750 Operational,,(01117) SRI RAMA VOCATIONAL JUNIOR COLLEGE,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,38-Pvt.Unaided,11 To 12,3-Co-educational,2-Urban,NA,,Rajam (CT) - Ward No.17,Rajam-Town Panchayat,Near ammavaru temple RAJAM,532127,reddi.ramarao1015[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4650716/12,4650716,27/06/2021 19:27,2788
******01805 Operational,,(01339) GOVT. JR.COLLEGE SANTHAKAVITI,,,,Andhra Pradesh,11-Higher Secondary only/Jr. College,10-State Govt.,11 To 12,3-Co-educational,1-Rural,Santhakavati,Santhakaviti,,,G J C Santhakaviti Main Road Santhakaviti Srikakulam Dist,532123,gjcskvt01339[at]gmail[dot]com,https://kys.udiseplus.gov.in/#/schooldetail/4651295/12,4651295,27/06/2021 13:41,2788
